cwe,richness,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,L1.name,L2.name,L3.name,geometry
0.020886177,60,16.304250717163086,23.606666564941406,8.747833251953125,586,134,1,97.77645111083984,338,6,6,338,15.397832870483398,48.070159912109375,616.1446533203125,34.62099838256836,2.5889999866485596,32.03199768066406,8.747833251953125,23.606666564941406,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-172500, 52500)"
0.024294199,50,15.794500350952148,22.459667205810547,8.407999992370605,500,111,1,95.032073974609375,283,6,6,282,14.936500549316406,48.97855758666992,584.8184814453125,32.93299865722656,2.437000036239624,30.49599838256836,10.09066677093506,22.459667205810547,Mediterranean california,Mediterranean california,Central california valley,"c(-157500, 52500)"
0.045426668,36,15.745458602905272,22.408166885375977,8.507499694824219,462,100,1,92.9151840209961,261,6,6,254,14.275083541870115,47.88850402832031,578.33770751953125,32.689998626708984,2.88100004196167,29.808998107910156,10.196666717529297,22.408166885375977,Mediterranean california,Mediterranean california,Central california valley,"c(-142500, 52500)"
0.020215446,97,16.315624237060547,23.28700065612793,8.962833404541016,459,99,1,91.15909576416016,255,7,7,248,14.161749839782717,46.89632034301758,596.10308837890625,33.49599838256836,3.2980000972747803,30.197998046875,10.603833198547363,23.28700065612793,Mediterranean california,Mediterranean california,Central california valley,"c(-127500, 52500)"
0.022548596,21,16.20804214477539,23.60700035095215,8.552499771118164,490,98,2,87.67540740966797,261,8,8,252,14.707416534423828,46.45132064819336,624.3719482421875,34.2140007019043,2.552000045776367,31.66200065612793,10.2413330078125,23.60700035095215,Mediterranean california,Mediterranean california,Central california valley,"c(-112500, 52500)"
0.00594321,8,16.415374755859375,24.17916679382324,8.5861663818359375,536,103,2,85.7419204711914,280,10,10,266,15.102083206176758,46.23039627075195,647.6278076171875,35.086997985839844,2.4200000762939453,32.66699981689453,10.196332931518556,24.17916679382324,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-97500, 52500)"
0.014894304,9,16.179250717163086,24.11516761779785,8.45816707611084,650,122,3,84.83564758300781,336,12,19,319,15.26533317565918,46.275413513183594,650.41827392578125,35.172000885009766,2.184000015258789,32.987998962402344,9.909667015075684,24.06916618347168,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-82500, 52500)"
0.009899213,21,15.154749870300291,23.357831954956055,7.671499729156494,865,161,4,84.346649169921875,437,16,26,424,15.490999221801758,47.082244873046875,649.45684814453125,34.16999816894531,1.2680000066757202,32.90199661254883,8.834500312805176,23.108165740966797,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-67500, 52500)"
0.028916576,63,13.53487491607666,21.903667449951172,6.247333526611328,1125,202,5,82.92870330810547,547,23,35,547,14.59908390045166,46.04081726074219,647.035400390625,32.20500183105469,0.4959999918937683,31.709001541137695,6.247333526611328,21.46700096130371,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-52500, 52500)"
0.018285316,19,11.724082946777344,20.13800048828125,4.493500232696533,1314,232,6,81.80323791503906,637,29,43,637,13.996000289916992,45.004661560058594,649.8270263671875,30.124000549316406,-0.975000023841858,31.099000930786133,4.493500232696533,19.795499801635746,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-37500, 52500)"
